claim_id	result	clean_clone_commit
demo-sandbox	PASS	45f052a2e21c638312b15043fbe92853c8124924
sample-six-meals	PASS	45f052a2e21c638312b15043fbe92853c8124924
json-export	PASS	45f052a2e21c638312b15043fbe92853c8124924
json-import-safety	PASS	45f052a2e21c638312b15043fbe92853c8124924
offline-reload	PASS	45f052a2e21c638312b15043fbe92853c8124924
local-only	PASS	45f052a2e21c638312b15043fbe92853c8124924
shared-lanes	PASS	45f052a2e21c638312b15043fbe92853c8124924
prep-labels	PASS	45f052a2e21c638312b15043fbe92853c8124924
print-plan	PASS	45f052a2e21c638312b15043fbe92853c8124924
free-export-import-print	PASS	45f052a2e21c638312b15043fbe92853c8124924
named-lanes	PASS	45f052a2e21c638312b15043fbe92853c8124924
paid-unlock	PASS	45f052a2e21c638312b15043fbe92853c8124924
free-lane-limit	PASS	45f052a2e21c638312b15043fbe92853c8124924
paid-unlimited-lanes	PASS	45f052a2e21c638312b15043fbe92853c8124924
license-invalid-cache	PASS	45f052a2e21c638312b15043fbe92853c8124924
license-request-privacy	PASS	45f052a2e21c638312b15043fbe92853c8124924
