demo-sandbox	PASS	npm test -- --grep @claim:demo-sandbox
sample-six-meals	PASS	npm test -- --grep @claim:sample-six-meals
meal-create-edit	PASS	npm test -- --grep @claim:meal-create-edit
json-export	PASS	npm test -- --grep @claim:json-export
json-import-safety	PASS	npm test -- --grep @claim:json-import-safety
offline-reload	PASS	npm test -- --grep @claim:offline-reload
local-only	PASS	npm test -- --grep @claim:local-only
scope-boundaries	PASS	npm test -- --grep @claim:scope-boundaries
shared-lanes	PASS	npm test -- --grep @claim:shared-lanes
prep-labels	PASS	npm test -- --grep @claim:prep-labels
print-plan	PASS	npm test -- --grep @claim:print-plan
free-export-import-print	PASS	npm test -- --grep @claim:free-export-import-print
named-lanes	PASS	npm test -- --grep @claim:named-lanes
paid-unlock	PASS	npm test -- --grep @claim:paid-unlock
free-lane-limit	PASS	npm test -- --grep @claim:free-lane-limit
paid-unlimited-lanes	PASS	npm test -- --grep @claim:paid-unlimited-lanes
license-invalid-cache	PASS	npm test -- --grep @claim:license-invalid-cache
license-request-privacy	PASS	npm test -- --grep @claim:license-request-privacy
build-output	PASS	npm test -- --grep @claim:build-output
hosting-config	PASS	npm test -- --grep @claim:hosting-config
